Country Name,Country Code,Year,GDP($),Solar Capacity (GW),Wind Capacity (GWp),Electricity from solar (TWh),Electricity from solar (GWh),Electricity from wind (TWh),Electricity from wind (GWh),Solar (% electricity),Wind (% electricity),solar energy capacity factor,wind energy capacity factor
Greece,GRC,2000,11638.2010697215,0.0,0.226,0.0,0.0,0.45,450.0,0.0,0.8423812,,22.730027882167537
India,IND,2000,442.750218937263,0.001084,0.941,0.01,10.0,1.58,1580.0,0.0017501181,0.27651867,105.30927227080491,19.167406674139528
Italy,ITA,2000,20190.0035636084,0.019,0.363,0.02,20.0,0.56,560.0,0.0074308007,0.20806243,12.01634222542658,17.610727448834545
Japan,JPN,2000,39169.3595701504,0.33,0.084,0.35,350.0,0.11,110.0,0.035410766,0.011129097,12.107375121073751,14.948901935203304
Jordan,JOR,2000,1570.61002940477,1.5e-05,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Korea, Rep.",KOR,2000,12257.0206622345,0.004,0.007,0.0,0.0,0.02,20.0,0.0,0.0073389113,0.0,32.615786040443574
Mexico,MEX,2000,7524.02713693678,0.014,0.017,0.01,10.0,0.02,20.0,0.005151453,0.010302906,8.153946510110893,13.430029546065
Morocco,MAR,2000,1499.107421875,0.0067,0.054,0.0,0.0,0.06,60.0,0.0,0.4946414,0.0,12.683916793505833
Netherlands,NLD,2000,26225.1697734149,0.013,0.447,0.01,10.0,0.83,830.0,0.011186934,0.9285155,8.78117316473481,21.19661262807351
Pakistan,PAK,2000,642.338346499898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Philippines,PHL,2000,1050.79272954492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Poland,POL,2000,4520.64100449111,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Portugal,PRT,2000,11526.3720667968,0.001,0.083,0.0,0.0,0.17,170.0,0.0,0.39188564,0.0,23.38119601694449
Romania,ROU,2000,1659.92904910528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Russian Federation,RUS,2000,1771.59411621094,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
South Africa,ZAF,2000,3217.84693448467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Spain,ESP,2000,14743.2671031455,0.01,2.206,0.01,10.0,4.73,4730.0,0.0045265253,2.1410465,11.415525114155251,24.47662456480251
Sweden,SWE,2000,29632.7736101599,0.003,0.209,0.0,0.0,0.46,460.0,0.0,0.31673896,0.0,25.125079198619215
Thailand,THA,2000,2005.97694514234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Turkiye,TUR,2000,4192.44316738494,0.0001,0.019,0.0,0.0,0.03,30.0,0.0,0.024129333,0.0,18.02451333813987
Ukraine,UKR,2000,653.294311523438,0.0,0.005,0.0,0.0,0.01,10.0,0.0,0.005838734,,22.831050228310502
United Kingdom,GBR,2000,28280.926786099,0.002,0.412,0.0,0.0,0.95,950.0,0.0,0.25375286,0.0,26.322205967105557
United States,USA,2000,36329.9702595751,0.176,2.377,0.49,490.0,5.59,5590.0,0.012887615,0.147024,31.7818596928186,26.84593411364235
Argentina,ARG,2001,7141.47507662826,2.6e-05,0.024829,0.0,0.0,0.05,50.0,0.0,0.057810154,0.0,22.988290132818985
Australia,AUS,2001,19695.7297379144,0.029,0.076,0.04,40.0,0.21,210.0,0.018891985,0.099182926,15.745551881593448,31.542898341744774
Austria,AUT,2001,24430.495982841,0.007,0.067,0.01,10.0,0.1,100.0,0.016377334,0.16377333,16.307893020221787,17.03809718530634
Belgium,BEL,2001,23015.0712632462,0.0,0.026,0.0,0.0,0.04,40.0,0.0,0.05087117,,17.56234632946962
Brazil,BRA,2001,3176.28935747524,3.6e-05,0.024,0.0,0.0,0.04,40.0,0.0,0.012377386,0.0,19.025875190258752
Bulgaria,BGR,2001,1770.90704918691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Canada,CAN,2001,23822.096210932,0.009,0.131,0.02,20.0,0.34,340.0,0.0034942434,0.059402134,25.367833587011674,29.62808044895256
Chile,CHL,2001,4563.5952986689,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
China,CHN,2001,1053.11231442789,0.03802,0.383,0.03,30.0,0.72,720.0,0.0020259456,0.048622694,9.007515871242965,21.459994992667834
Denmark,DNK,2001,30768.4775471112,0.001,2.497153,0.0,0.0,4.31,4310.0,0.0,11.426299,0.0,19.70280284868774
"Egypt, Arab Rep.",EGY,2001,1295.1374184163,0.0005,0.074,0.0,0.0,0.22,220.0,0.0,0.27718282,0.0,33.93804763667777
France,FRA,2001,22331.7948343036,0.007,0.066,0.01,10.0,0.13,130.0,0.0018394187,0.023912443,16.307893020221787,22.48512522485125
Germany,DEU,2001,23878.3641471651,0.195,8.754,0.12,120.0,10.46,10460.0,0.020622455,1.7975906,7.024938531787847,13.640209355045002
Greece,GRC,2001,12156.9572824221,0.001,0.27,0.0,0.0,0.76,760.0,0.0,1.431801,0.0,32.13258921021478
India,IND,2001,450.357900514128,0.005535,1.563,0.01,10.0,2.09,2090.0,0.0017062225,0.3566005,20.624254948789975,15.26452174573543
Italy,ITA,2001,20571.4787737914,0.02,0.664,0.02,20.0,1.18,1180.0,0.007377896,0.43529585,11.415525114155251,20.286625955878307
Japan,JPN,2001,34406.1824638092,0.453,0.175,0.47,470.0,0.25,250.0,0.04844512,0.02576868,11.843922303869686,16.307893020221787
Jordan,JOR,2001,1632.29454010563,1.5e-05,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Korea, Rep.",KOR,2001,11561.2071745115,0.005,0.011,0.01,10.0,0.01,10.0,0.0034255958,0.0034255958,22.831050228310502,10.377750103777501
Mexico,MEX,2001,7952.7647961764,0.015,0.017,0.01,10.0,0.02,20.0,0.0049709203,0.009941841,7.610350076103501,13.430029546065
Morocco,MAR,2001,1506.24523925781,0.007,0.054,0.0,0.0,0.21,210.0,0.0,1.4788733,0.0,44.39370877727042
Netherlands,NLD,2001,26955.7128032278,0.021,0.486,0.01,10.0,0.83,830.0,0.0107032005,0.8883656,5.435964340073928,19.495649886314524
Pakistan,PAK,2001,609.939506905073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Philippines,PHL,2001,969.530611744453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Poland,POL,2001,5015.23790036613,0.0,0.019,0.0,0.0,0.01,10.0,0.0,0.006957974,,6.00817111271329
Portugal,PRT,2001,11734.7649743954,0.001,0.125,0.0,0.0,0.26,260.0,0.0,0.5631363,0.0,23.74429223744292
Romania,ROU,2001,1825.19299373184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Russian Federation,RUS,2001,2100.3525390625,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
South Africa,ZAF,2001,2847.15191945908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Spain,ESP,2001,15368.2337984435,0.013,3.397,0.02,20.0,6.76,6760.0,0.008581113,2.9004161,17.56234632946962,22.716794162993672
Sweden,SWE,2001,27259.4806735435,0.003,0.295,0.0,0.0,0.48,480.0,0.0,0.2970297,0.0,18.574413745066174
Thailand,THA,2001,1889.93432467144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Turkiye,TUR,2001,3045.55413956926,0.0003,0.019,0.0,0.0,0.06,60.0,0.0,0.049103852,0.0,36.04902667627974
Ukraine,UKR,2001,800.49072265625,0.0,0.03623,0.0,0.0,0.02,20.0,0.0,0.011573404,,6.301697551286366
United Kingdom,GBR,2001,27906.5695029641,0.003,0.493,0.0,0.0,0.97,970.0,0.0,0.253681,0.0,22.46056665462595
United States,USA,2001,37133.6203973517,0.213,3.864,0.54,540.0,6.74,6740.0,0.01448665,0.18081485,28.940767895041486,19.912173723966458
Argentina,ARG,2002,2569.69963519124,2.6e-05,0.0257979999999999,0.0,0.0,0.07,70.0,0.0,0.08626001,0.0,30.974756104770552
Australia,AUS,2002,20301.8431713256,0.034,0.106,0.05,50.0,0.36,360.0,0.02329482,0.1677227,16.78753693258125,38.769707934866894
Austria,AUT,2002,26334.862215032,0.009,0.109,0.01,10.0,0.14,140.0,0.016477179,0.23068051,12.683916793505837,14.662142348456285
Belgium,BEL,2002,25006.191397109,0.001,0.031,0.0,0.0,0.06,60.0,0.0,0.074128985,0.0,22.09456473707468
Brazil,BRA,2002,2855.94018885769,3.6e-05,0.022,0.0,0.0,0.06,60.0,0.0,0.017632019,0.0,31.133250311332507
Bulgaria,BGR,2002,2092.98288625558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Canada,CAN,2002,24256.0192337185,0.01,0.161,0.02,20.0,0.41,410.0,0.0034250682,0.0702139,22.831050228310502,29.070591905612748
Chile,CHL,2002,4430.84741157069,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
China,CHN,2002,1148.51425710711,0.05653,0.449,0.05,50.0,0.84,840.0,0.0030229746,0.050785974,10.096873442557271,21.356438966348353
Denmark,DNK,2002,33257.1622586509,0.002,2.894531,0.0,0.0,4.88,4880.0,0.0,12.423626,0.0,19.245868348647026
"Egypt, Arab Rep.",EGY,2002,1116.82884626213,0.0006,0.074,0.0,0.0,0.2,200.0,0.0,0.23582125,0.0,30.852770578797976
France,FRA,2002,24144.5727019529,0.008,0.138,0.01,10.0,0.27,270.0,0.0018112005,0.048902415,14.269406392694064,22.334723049434185
Germany,DEU,2002,25486.5942008748,0.26,12.001,0.19,190.0,15.86,15860.0,0.03264829,2.7252731,8.342114506498069,15.086261837388742
Greece,GRC,2002,13782.195640943,0.001,0.287,0.0,0.0,0.65,650.0,0.0,1.2048192,0.0,25.853976739376005
India,IND,2002,469.149928973927,0.006705,1.606,0.01,10.0,2.09,2090.0,0.0016403123,0.34282523,17.02539166913535,14.855820354037656
Italy,ITA,2002,22463.5222129968,0.022,0.78,0.02,20.0,1.4,1400.0,0.0072264774,0.5058534,10.377750103777501,20.489404051047885
Japan,JPN,2002,32820.7936433254,0.637,0.277,0.67,670.0,0.41,410.0,0.06791275,0.04155855,12.0069102456578,16.89662562022979
Jordan,JOR,2002,1706.26744384401,1.5e-05,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Korea, Rep.",KOR,2002,13165.08362497,0.005,0.013,0.01,10.0,0.01,10.0,0.00321151,0.00321151,22.831050228310502,8.78117316473481
Mexico,MEX,2002,7983.03398483743,0.016,0.018,0.01,10.0,0.02,20.0,0.0048842435,0.009768487,7.134703196347032,12.683916793505837
Morocco,MAR,2002,1596.02062988281,0.0077,0.054,0.0,0.0,0.19,190.0,0.0,1.2532982,0.0,40.165736512768476
Netherlands,NLD,2002,29446.5330872868,0.026,0.672,0.02,20.0,0.95,950.0,0.020887729,0.9921671,8.78117316473481,16.138019134594476
Pakistan,PAK,2002,599.937345723927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Philippines,PHL,2002,1014.90879320106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Poland,POL,2002,5223.45178967082,0.0,0.032,0.0,0.0,0.06,60.0,0.0,0.042108215,,21.404109589041095
Portugal,PRT,2002,12936.6928204482,0.001,0.19,0.0,0.0,0.36,360.0,0.0,0.78860897,0.0,21.629416005767844
Romania,ROU,2002,2119.85509684554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Russian Federation,RUS,2002,2377.52954101563,0.0,0.007,0.0,0.0,0.01,10.0,0.0,0.0011808048,,16.307893020221787
South Africa,ZAF,2002,2688.23676032806,0.0,0.00316,0.02,20.0,0.0,0.0,0.009823665,0.0,inf,0.0
Spain,ESP,2002,17111.0685058941,0.017,4.891,0.02,20.0,9.34,9340.0,0.008336459,3.8931265,13.430029546065,21.79942845352894
Sweden,SWE,2002,29957.9387652616,0.003,0.357,0.0,0.0,0.61,610.0,0.0,0.4158146,0.0,19.50551910261822
Thailand,THA,2002,2089.75183111554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Turkiye,TUR,2002,3583.19745897158,0.0006,0.019,0.0,0.0,0.05,50.0,0.0,0.038934745,0.0,30.04085556356645
Ukraine,UKR,2002,903.011901855469,0.0,0.04623,0.0,0.0,0.02,20.0,0.0,0.011522728,,4.938578894291694
United Kingdom,GBR,2002,30077.741432188,0.004,0.534,0.0,0.0,1.26,1260.0,0.0,0.3276131,0.0,26.93550869632138
United States,USA,2002,37997.7424300242,0.255,4.417,0.55,550.0,10.35,10350.0,0.014307156,0.2692347,24.6217208344525,26.749079676591997
Argentina,ARG,2003,3320.47775133903,2.6e-05,0.025729,0.0,0.0,0.08,80.0,0.0,0.090764694,0.0,35.494656190773846
Australia,AUS,2003,23718.1338501868,0.039,0.19,0.06,60.0,0.7,700.0,0.028085941,0.32766932,17.56234632946962,42.05719778899303
Austria,AUT,2003,32110.1159661425,0.023,0.322,0.01,10.0,0.37,370.0,0.017223561,0.63727176,4.963271788763153,13.117218298874045
Belgium,BEL,2003,30655.2092679024,0.001,0.067,0.0,0.0,0.09,90.0,0.0,0.10769415,0.0,15.33428746677571
Brazil,BRA,2003,3090.6070097455,0.000716,0.024,0.0,0.0,0.06,60.0,0.0,0.016717749,0.0,28.538812785388128
Bulgaria,BGR,2003,2719.49436859287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Canada,CAN,2003,28301.8645937428,0.012,0.327,0.02,20.0,0.83,830.0,0.0034941821,0.14500856,19.025875190258752,28.975186069568377
Chile,CHL,2003,4773.40177520754,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
China,CHN,2003,1288.63749134336,0.0665999999999999,0.547,0.06,60.0,1.0,1000.0,0.0031404076,0.052340128,10.284256859599344,20.86933293264214
Denmark,DNK,2003,40519.0974905924,0.002,3.1199160000000004,0.0,0.0,5.56,5560.0,0.0,12.045061,0.0,20.343598877246436
"Egypt, Arab Rep.",EGY,2003,1031.27556291284,0.0006,0.074,0.0,0.0,0.37,370.0,0.0,0.40893012,0.0,57.077625570776256
France,FRA,2003,29479.5222101175,0.009,0.218,0.01,10.0,0.39,390.0,0.0017859695,0.06965281,12.683916793505837,20.42226969963554
Germany,DEU,2003,30711.1022511331,0.435,14.381,0.31,310.0,19.09,19090.0,0.051448867,3.1682546,8.135201805489949,15.153492415633387
Greece,GRC,2003,18020.612039764,0.001,0.371,0.0,0.0,1.02,1020.0,0.0,1.761658,0.0,31.38500166155891
India,IND,2003,544.143133545002,0.007885,2.461,0.02,20.0,2.6,2600.0,0.0031341575,0.40744048,28.955041507052005,12.060286589517943
Italy,ITA,2003,27618.9417740066,0.026,0.874,0.02,20.0,1.46,1460.0,0.0070081996,0.5115986,8.78117316473481,19.069412662090006
Japan,JPN,2003,35387.0374203599,0.86,0.508,0.9,900.0,0.83,830.0,0.09221784,0.08504534,11.94647977062759,18.651350088088304
Jordan,JOR,2003,1775.67625581432,1.5e-05,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Korea, Rep.",KOR,2003,14672.8057539465,0.006,0.019,0.01,10.0,0.03,30.0,0.0030848011,0.009254403,19.025875190258752,18.02451333813987
Mexico,MEX,2003,7434.0746485155,0.016,0.018,0.01,10.0,0.02,20.0,0.0049372963,0.009874593,7.134703196347032,12.683916793505837
Morocco,MAR,2003,1941.87255859375,0.0084,0.054,0.0,0.0,0.2,200.0,0.0,1.2135923,0.0,42.27972264501945
Netherlands,NLD,2003,35896.7504630706,0.046,0.905,0.03,30.0,1.32,1320.0,0.031055901,1.3664596,7.444907683144729,16.650268674789977
Pakistan,PAK,2003,672.44178669894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
