location,year,total_energy_supply
CZE,1992,2.75
CZE,1993,2.89
CZE,1994,3.28
CZE,1995,2.89
CZE,1996,2.84
CZE,1997,3.02
CZE,1998,3.31
CZE,1999,3.67
CZE,2000,3.28
CZE,2001,3.53
CZE,2002,3.69
CZE,2003,3.45
CZE,2004,3.82
CZE,2005,3.97
CZE,2006,4.2
CZE,2007,4.65
CZE,2008,4.91
CZE,2009,5.76
CZE,2010,6.26
CZE,2011,6.99
CZE,2012,7.53
CZE,2013,8.52
CZE,2014,8.82
CZE,2015,8.77
DNK,1960,0.02
DNK,1961,0.02
DNK,1962,0.02
DNK,1963,0.02
DNK,1964,0.02
DNK,1965,0.02
DNK,1966,0.02
DNK,1967,0.01
DNK,1968,0.01
DNK,1969,0.01
DNK,1970,1.63
DNK,1971,1.78
DNK,1972,1.6
DNK,1973,1.62
DNK,1974,1.75
DNK,1975,1.84
DNK,1976,1.79
DNK,1977,1.75
DNK,1978,1.9
DNK,1979,2.28
DNK,1980,3.06
DNK,1981,4.07
DNK,1982,4.33
DNK,1983,4.8
DNK,1984,4.86
DNK,1985,4.45
DNK,1986,4.77
DNK,1987,5.45
DNK,1988,5.76
DNK,1989,6.23
DNK,1990,5.94
DNK,1991,5.85
DNK,1992,6.47
DNK,1993,6.59
DNK,1994,6.34
DNK,1995,6.69
DNK,1996,6.26
DNK,1997,7.26
DNK,1998,7.73
DNK,1999,8.49
DNK,2000,9.64
DNK,2001,10.16
DNK,2002,11.01
DNK,2003,12.0
DNK,2004,13.72
DNK,2005,15.02
DNK,2006,14.25
DNK,2007,16.2
DNK,2008,16.88
DNK,2009,17.95
DNK,2010,20.12
DNK,2011,22.23
DNK,2012,24.2
DNK,2013,24.67
DNK,2014,27.35
DNK,2015,28.37
FIN,1960,54.08
FIN,1961,54.45
FIN,1962,52.17
FIN,1963,47.86
FIN,1964,44.02
FIN,1965,41.13
FIN,1966,38.76
FIN,1967,37.52
FIN,1968,33.52
FIN,1969,29.55
FIN,1970,27.89
FIN,1971,27.31
FIN,1972,24.98
FIN,1973,23.04
FIN,1974,24.04
FIN,1975,21.4
FIN,1976,18.87
FIN,1977,19.27
FIN,1978,18.33
FIN,1979,18.35
FIN,1980,17.65
FIN,1981,20.05
FIN,1982,19.48
FIN,1983,20.93
FIN,1984,21.49
FIN,1985,18.49
FIN,1986,17.82
FIN,1987,17.53
FIN,1988,18.37
FIN,1989,18.8
FIN,1990,19.34
FIN,1991,18.46
FIN,1992,19.83
FIN,1993,19.86
FIN,1994,19.07
FIN,1995,21.19
FIN,1996,19.81
FIN,1997,20.9
FIN,1998,22.25
FIN,1999,22.35
FIN,2000,23.91
FIN,2001,22.5
FIN,2002,22.25
FIN,2003,21.24
FIN,2004,23.24
FIN,2005,23.48
FIN,2006,23.2
FIN,2007,23.46
FIN,2008,25.8
